Junot Abi-Ramia Antônio	m 
Manuel Elias de Almeida Anunciação	m 
Carlos Alberto Eugênio Apolinário	m 
Idivar Francisco Appio	m 
Mário Aprile	m 
Ruth de Aquino	f 
Osmar de Araújo Aquino	m 
José Ronaldo Aragão	m 
Augusto César de Castro Muniz de Aragão	m 
Cândido da Costa Aragão	m 
João Guilherme de Aragão	m 
Raimundo Augusto de Castro Muniz de Aragão	m 
José Joaquim de Lima e Silva Muniz de Aragão	m 
José Calvente Aranda	m 
Luís de Freitas Vale Aranha	m 
Osvaldo Euclides de Sousa Aranha	m 
Renato Egídio de Sousa Aranha	m 
Temístocles da Graça Aranha	m 
Ciro Aranha	m 
Fábio Correia de Camargo Aranha	m 
Guido Magalhães Arantes	m 
José Maria de Albuquerque Arantes	m 
Jovair de Oliveira Arantes	m 
Aldo da Silva Arantes	m 
Armando de Sousa e Melo Araribóia	m 
Ossian Alencar Araripe	m 
Tristão de Alencar Araripe	m 
Antônio Alencar de Araripe	m 
Luís de Alencar Araripe	m 
Antônio Augusto Brandão de Aras	m 
Roque Aras	m 
José Gerardo Theóphilo Albano de Aratanha	m 
Ramón Antonio Mora y Araujo	m 
João Batista Oliveira de Araujo	m 
Maria Lúcia Melo de Araújo	f 
Paulo Freire de Araújo	m 
João Campos de Araújo	m 
Francisco Pessoa de Araújo	m 
Bruno Cavalcanti de Araújo	m 
Clara Maria de Oliveira Araújo	f 
Afonso Dias de Araújo	m 
José Cruciano de Araújo	m 
Serafim Fernandes de Araújo	m 
Leôncio Gomes de Araújo	m 
Francisco Evangelista dos Santos de Araújo	m 
Ildeu Alves de Araújo	m 
Clay Hardman de Araújo	m 
José Augusto de Araújo	m 
Francisco Diógenes de Araújo	m 
Henrique Fonseca de Araújo	m 
Otávio Correia de Araújo	m 
Joaquim Machado de Araújo	m 
Radir Pereira de Araújo	m 
Bernardo Saião Carvalho Araújo	m 
Edson Edinho Coelho Araújo	m 
Frederico César de Araújo	m 
Maurício Hilário Barreto Nabuco de Araújo	m 
Edésio Frias de Araújo	m 
Ernesto de Araújo	m 
Mário Altino Correia de Araújo	m 
João Hermes Pereira de Araújo	m 
Jaime Bittencourt de Araújo	m 
Almir Turisco de Araújo	m 
José Carlos Leão Araújo	m 
Gabriel Martiniano de Araújo	m 
Rui Araújo	m 
Orlando Valeriano de Araújo	m 
Aluísio de Araújo	m 
José do Rego Barros Meira de Araújo	m 
Félix Valois de Araújo	m 
André Vidal de Araújo	m 
